station_complex,station_complex_index
1 Av (L),1
103 St (1),2
103 St (6),3
"103 St (C,B)",4
103 St-Corona Plaza (7),5
104 St (A),6
"104 St (J,Z)",7
110 St (6),8
111 St (7),9
111 St (A),10
111 St (J),11
"116 St (2,3)",12
116 St (6),13
"116 St (C,B)",14
116 St-Columbia University (1),15
"121 St (J,Z)",16
125 St (1),17
"125 St (2,3)",18
"125 St (4,5,6)",19
"125 St (A,C,B,D)",20
"135 St (2,3)",21
"135 St (C,B)",22
137 St-City College (1),23
"138 St-Grand Concourse (4,5)",24
"14 St (A,C,E)/8 Av (L)",25
"14 St (F,M,1,2,3)/6 Av (L)",26
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",27
145 St (1),28
145 St (3),29
"145 St (A,C,B,D)",30
"149 St-Grand Concourse (2,4,5)",31
"15 St-Prospect Park (F,G)",32
"155 St (B,D)",33
155 St (C),34
157 St (1),35
"161 St-Yankee Stadium (B,D,4)",36
163 St-Amsterdam Av (C),37
167 St (4),38
"167 St (B,D)",39
"168 St (A,C,1)",40
169 St (F),41
170 St (4),42
"170 St (B,D)",43
"174 St (2,5)",44
"174-175 Sts (B,D)",45
175 St (A),46
176 St (4),47
18 Av (D),48
18 Av (F),49
18 Av (N),50
18 St (1),51
181 St (1),52
181 St (A),53
"182-183 Sts (B,D)",54
183 St (4),55
190 St (A),56
191 St (1),57
2 Av (F),58
20 Av (D),59
20 Av (N),60
207 St (1),61
21 St (G),62
21 St-Queensbridge (F),63
215 St (1),64
"219 St (2,5)",65
"225 St (2,5)",66
23 St (1),67
23 St (6),68
"23 St (C,E)",69
"23 St (F,M)",70
"23 St (R,W)",71
231 St (1),72
"233 St (2,5)",73
238 St (1),74
25 Av (D),75
25 St (R),76
28 St (1),77
28 St (6),78
"28 St (R,W)",79
3 Av (L),80
3 Av-138 St (6),81
"3 Av-149 St (2,5)",82
"30 Av (N,W)",83
33 St (6),84
33 St-Rawson St (7),85
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",86
34 St-Hudson Yards (7),87
"34 St-Penn Station (1,2,3)",88
"34 St-Penn Station (A,C,E)",89
"36 Av (N,W)",90
"36 St (D,N,R)",91
"36 St (M,R)",92
"39 Av-Dutch Kills (N,W)",93
"4 Av (F,G)/9 St (R)",94
40 St-Lowery St (7),95
45 St (R),96
"46 St (M,R)",97
46 St-Bliss St (7),98
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",99
"49 St (N,R,W)",100
"5 Av/53 St (E,M)",101
"5 Av/59 St (N,R,W)",102
50 St (1),103
"50 St (C,E)",104
50 St (D),105
52 St (7),106
53 St (R),107
55 St (D),108
57 St (F),109
"57 St-7 Av (N,Q,R,W)",110
"59 St (N,R)",111
"59 St-Columbus Circle (A,B,C,D,1)",112
61 St-Woodside (7),113
"63 Dr-Rego Park (M,R)",114
"65 St (M,R)",115
66 St-Lincoln Center (1),116
"67 Av (M,R)",117
68 St-Hunter College (6),118
69 St (7),119
"7 Av (B,Q)",120
"7 Av (E,B,D)",121
"7 Av (F,G)",122
71 St (D),123
"72 St (1,2,3)",124
"72 St (C,B)",125
72 St (Q),126
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",127
"75 Av (E,F)",128
"75 St-Elderts Ln (J,Z)",129
77 St (6),130
77 St (R),131
79 St (1),132
